id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là như sau:
- Phản hồi ban đầu (first response): 15 phút kể từ khi ticket được tạo.
- Xử lý và khắc phục (resolution): 4 giờ.
- Escalation: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút.
- Thông báo stakeholder: Ngay khi nhận ticket, update mỗi 30 phút cho đến khi resolve [1] (Trích dẫn: ""Phản hồi ban đầu (first response): 15 phút kể từ khi ticket được tạo. - Xử lý và khắc phục (resolution): 4 giờ."").",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer is completely derived from the context provided, accurately summarizing the SLA for handling P1 tickets without any hallucination.",5,"The answer directly addresses the query about the SLA for handling P1 tickets, providing specific timeframes for initial response, resolution, escalation, and stakeholder notification.",0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],5,"The model answer provides a complete and detailed explanation of the SLA for P1 tickets, including initial response time, resolution time, escalation process, and stakeholder notification, which aligns well with the expected answer.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Điều này được nêu rõ trong chính sách hoàn tiền: ""Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng"" [1] (Trích dẫn: ""Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng."").",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer is completely derived from the context provided, accurately quoting the relevant section of the refund policy regarding the timeframe for requesting a refund.",5,"Câu trả lời hoàn toàn phù hợp với câu hỏi, cung cấp thông tin cụ thể về thời gian khách hàng có thể yêu cầu hoàn tiền.",0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],5,"The model answer provides the same information as the expected answer, including the time frame for requesting a refund and the context of the policy. It is complete and accurate.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, yêu cầu phải có sự phê duyệt từ ba bên: Line Manager, IT Admin và IT Security. Cụ thể, quy trình phê duyệt cho Level 3 được mô tả như sau: ""Phê duyệt: Line Manager + IT Admin + IT Security"" [1] (Trích dẫn: ""Phê duyệt: Line Manager + IT Admin + IT Security."").","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer is completely derived from the context provided, accurately reflecting the approval process for Level 3 access as stated in the document.",5,"Câu trả lời hoàn toàn phù hợp với truy vấn, cung cấp thông tin chi tiết về các bên cần phê duyệt để cấp quyền Level 3.",0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],5,"The model answer provides a complete and accurate response that matches the expected answer, detailing the necessary approvals for Level 3 access.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền theo chính sách hiện hành. Cụ thể, trong Điều 3 của chính sách hoàn tiền, có nêu rõ rằng ""Ngoại lệ không được hoàn tiền: - Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)"" [1] (Trích dẫn: ""Ngoại lệ không được hoàn tiền: - Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)""). Do đó, khách hàng không thể yêu cầu hoàn tiền cho các sản phẩm kỹ thuật số.","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer is completely derived from the context provided, specifically referencing the relevant section of the refund policy that states digital products are not eligible for refunds.",5,"The answer directly addresses the query about the refund policy for digital products, providing specific details from the policy.",0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],5,"The model answer is complete and accurately reflects the expected answer, providing clear information about the refund policy for digital products.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, người dùng cần liên hệ với IT Helpdesk hoặc tự reset qua portal SSO [1] (Trích dẫn: ""Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO."").",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely derived from the context provided, accurately reflecting the information about account lockout and the steps to unlock it.",5,The answer directly addresses the query by providing the specific number of failed login attempts that lead to account lockout and the steps to unlock the account.,0,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],4,"The model answer provides the correct information about the account being locked after 5 failed login attempts, but it includes additional details about unlocking the account that were not necessary for the query.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Quy trình escalation trong sự cố P1 diễn ra như sau:

1. **Tiếp nhận**: Kỹ sư on-call nhận alert hoặc ticket và xác nhận severity trong vòng 5 phút.
2. **Thông báo**: Ngay lập tức gửi thông báo tới kênh Slack #incident-p1 và email đến incident@company.internal.
3. **Triage và phân công**: Lead Engineer phân công engineer xử lý trong 10 phút.
4. **Xử lý**: Engineer cập nhật tiến độ lên ticket mỗi 30 phút. Nếu cần hỗ trợ thêm, engineer sẽ thực hiện việc escalate ngay lập tức.
5. **Resolution**: Sau khi khắc phục sự cố, engineer phải viết incident report trong vòng 24 giờ.

Đặc biệt, trong quy trình xử lý sự cố P1, nếu không có phản hồi trong 10 phút, hệ thống sẽ tự động escalate lên Senior Engineer để đảm bảo sự cố được xử lý kịp thời [2] (Trích dẫn: ""Escalation: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút."").",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The response is completely derived from the provided context, accurately summarizing the escalation process for P1 incidents without introducing any hallucinated information.",5,"The answer provides a detailed and structured explanation of the escalation process for a P1 incident, directly addressing the query.",0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],4,"The model answer provides a detailed escalation process for P1 incidents, including steps for notification, triage, and resolution. However, it could be more concise by directly stating that the ticket automatically escalates to the Senior Engineer if there is no response within 10 minutes, as highlighted in the expected answer.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu ""ACCESS_CONTROL_SOP"". Tài liệu này quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty và trước đây có tên là ""Approval Matrix for System Access"" [1] (Trích dẫn: ""Tài liệu này trước đây có tên 'Approval Matrix for System Access'"").",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer is completely derived from the context provided, accurately summarizing the purpose of the 'ACCESS_CONTROL_SOP' document and referencing its previous name as stated in the context.",5,The answer directly addresses the query by identifying the specific document related to the Approval Matrix for system access and provides relevant details about its purpose and previous name.,0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],4,"The model answer provides the correct information about the document's current name and its previous name, but it does not mention the specific file name (access-control-sop.md) as stated in the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên có thể làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc. Tuy nhiên, lịch remote cần phải được Team Lead phê duyệt qua HR Portal. Ngoài ra, có những ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch của team [1] (Trích dẫn: ""Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần."").","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer is completely derived from the context provided, accurately summarizing the remote work policy and including specific details about approval and mandatory onsite days.",5,"The answer directly addresses the query about the maximum number of remote work days per week for employees, providing specific details about the policy and requirements.",0,Retrieved: 0/1 expected sources. Missing: ['hr/leave-policy-2026.pdf'],4,"The model answer provides additional context about mandatory onsite days and the approval process, which enhances the completeness of the response. However, it could be slightly more concise by omitting the citation and focusing on the main points.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Lỗi ERR-403-AUTH thường liên quan đến việc từ chối quyền truy cập do thiếu quyền hợp lệ hoặc không đủ quyền để thực hiện hành động yêu cầu. Để xử lý lỗi này, bạn cần thực hiện các bước sau:

1. **Kiểm tra quyền truy cập**: Đảm bảo rằng bạn đã được cấp quyền cần thiết để truy cập vào tài nguyên hoặc thực hiện hành động mà bạn đang cố gắng thực hiện. Nếu chưa, bạn cần tạo một Access Request ticket trên Jira (project IT-ACCESS) để yêu cầu quyền truy cập.

2. **Phê duyệt yêu cầu**: Sau khi gửi yêu cầu, Line Manager của bạn sẽ cần phê duyệt yêu cầu trong vòng 1 ngày làm việc [1] (Trích dẫn: ""Line Manager phê duyệt yêu cầu trong 1 ngày làm việc."").

3. **Kiểm tra compliance và cấp quyền**: Sau khi được phê duyệt, IT Admin sẽ kiểm tra compliance và cấp quyền cho bạn.

4. **Nhận thông báo**: Khi quyền đã được cấp, bạn sẽ nhận được thông báo qua email [1] (Trích dẫn: ""Nhân viên nhận thông báo qua email khi quyền được cấp."").

Nếu bạn gặp phải tình huống khẩn cấp và cần thay đổi quyền hệ thống ngay lập tức, bạn có thể yêu cầu IT Admin cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1] (Trích dẫn: ""On-call IT Admin có thể cấp quyền tạm thời (max 24 giờ) sau khi được Tech Lead phê duyệt bằng lời."").

Nếu bạn cần thêm thông tin hoặc hỗ trợ, hãy liên hệ với IT Helpdesk qua email it-access@company.internal hoặc hotline ext. 9000.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer is completely derived from the context provided, accurately summarizing the steps to handle the ERR-403-AUTH error and referencing the relevant procedures for access requests and temporary permissions.",5,"The answer directly addresses the query about the ERR-403-AUTH error, explaining its meaning and providing a detailed step-by-step guide on how to resolve it.",,No expected sources,2,"The model answer provides a detailed explanation of the ERR-403-AUTH error and steps to resolve it, but it does not directly address the possibility that the error may relate to authentication as mentioned in the expected answer. Additionally, it includes specific procedures and contact information, which may not be necessary for a general understanding of the error.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tài liệu hiện tại không đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The response introduces a concept (emergency refund process for VIP customers) that is not mentioned or implied in the provided context, indicating a hallucination.",3,The answer acknowledges the query about the refund process for VIP customers but does not provide any relevant information or alternative procedures.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],3,Model answer acknowledges the lack of information regarding the process for VIP customers but does not provide the additional context about the standard refund process that is present in the expected answer.,baseline_dense
